ref_month,release_date,consensus_yoy,notes
2021-01,2021-02-10,1.5,
2021-02,2021-03-10,1.7,
2021-03,2021-04-13,2.5,
2021-04,2021-05-12,3.6,
2021-05,2021-06-10,4.7,
2021-06,2021-07-13,4.9,
2021-07,2021-08-11,5.3,
2021-08,2021-09-14,5.3,
2021-09,2021-10-13,5.3,
2021-10,2021-11-10,5.8,
2021-11,2021-12-10,6.8,
2021-12,2022-01-12,7.0,
2022-01,2022-02-10,7.3,
2022-02,2022-03-10,7.9,
2022-03,2022-04-12,8.4,
2022-04,2022-05-11,8.1,
2022-05,2022-06-10,8.3,
2022-06,2022-07-13,8.8,
2022-07,2022-08-10,8.7,
2022-08,2022-09-13,8.1,
2022-09,2022-10-13,8.1,
2022-10,2022-11-10,7.9,
2022-11,2022-12-13,7.3,
2022-12,2023-01-12,6.5,
2023-01,2023-02-14,6.2,
2023-02,2023-03-14,6.0,
2023-03,2023-04-12,5.2,
2023-04,2023-05-10,5.0,
2023-05,2023-06-13,4.1,
2023-06,2023-07-12,3.1,
2023-07,2023-08-10,3.3,
2023-08,2023-09-13,3.6,
2023-09,2023-10-12,3.6,
2023-10,2023-11-14,3.3,
2023-11,2023-12-12,3.1,
2023-12,2024-01-11,3.2,
2024-01,2024-02-13,2.9,
2024-02,2024-03-12,3.1,
2024-03,2024-04-10,3.4,
2024-04,2024-05-15,3.4,
2024-05,2024-06-12,3.4,
2024-06,2024-07-11,3.1,
2024-07,2024-08-14,3.0,
2024-08,2024-09-11,2.5,
2024-09,2024-10-10,2.3,
2024-10,2024-11-13,2.6,
2024-11,2024-12-11,2.7,
2024-12,2025-01-15,2.9,
2025-01,2025-02-12,2.9,
2025-02,2025-03-12,2.9,
2025-03,2025-04-10,2.6,
2025-04,2025-05-13,2.4,
2025-05,2025-06-11,2.5,
2025-06,2025-07-15,2.7,
2025-07,2025-08-12,2.8,
2025-08,2025-09-11,2.9,
2025-09,2025-10-24,3.1,Delayed by federal govt shutdown; originally scheduled Oct 15 2025
2025-10,,,NOT RELEASED; Oct 2025 CPI collection disrupted by shutdown and report canceled/not published
2025-11,2025-12-18,,Combined Oct/Nov release; delayed from normal mid-Dec schedule due to shutdown recovery
2025-12,2026-01-13,,
2026-01,2026-02-13,,Originally scheduled Feb 11; actual release Feb 13 (archive cpi_02132026)
2026-02,2026-03-11,,
2026-03,2026-04-10,,
2026-04,2026-05-12,,
2026-05,2026-06-10,,
